name	description	GS details	SIZE	ES	NES	pval	padj	FWER	Rank at Max	leading edge genes
2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	2-KETOGLUTARATE DEHYDROGENASE COMPLEX DEFICIENCY%PATHWHIZ%PW000525	Details	21	0.821585354743381	2.24195779892899	4.80816021064096e-06	0.000132150406726557	0	2362	MPC1,SDHB,SDHD,SUCLG1,ACO2,SDHC,PDHA1,SUCLG2,SDHA,IDH3B,MDH1,IDH3A,DLAT,DLST,CS
2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	2-METHYL-3-HYDROXYBUTYRYL-COA DEHYDROGENASE DEFICIENCY%PATHWHIZ%PW000061	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	3-HYDROXY-3-METHYLGLUTARYL-COA LYASE DEFICIENCY%PATHWHIZ%PW000063	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	3-HYDROXYISOBUTYRIC ACID DEHYDROGENASE DEFICIENCY%SMPDB%SMP0000521	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	3-HYDROXYISOBUTYRIC ACIDURIA%PATHWHIZ%PW000498	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	3-METHYLCROTONYL-COA CARBOXYLASE DEFICIENCY TYPE I%SMPDB%SMP0000237	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	3-METHYLGLUTACONIC ACIDURIA TYPE I%SMPDB%SMP0000139	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	3-METHYLGLUTACONIC ACIDURIA TYPE III%SMPDB%SMP0000140	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	3-METHYLGLUTACONIC ACIDURIA TYPE IV%SMPDB%SMP0000141	Details	28	0.597649290177512	1.7378740669615	0.00488758553274682	0.0302839567985123	0	2486	ALDH2,ACAT1,ACADM,AUH,ACAA2,HIBADH,AOX1,ACADS,OXCT1,ACADSB,HMGCS2,PCCA
ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME%R-HSA-1369062.5	ABC TRANSPORTERS IN LIPID HOMEOSTASIS%REACTOME%R-HSA-1369062.5	Details	16	0.721298301832231	1.84361885332347	0.00415598196126979	0.0272953892823417	0	1754	ABCD2,ABCA6,ABCA9,ABCA5,ABCA10,ABCG1
ACEBUTOLOL ACTION PATHWAY%SMPDB%SMP0000296	ACEBUTOLOL ACTION PATHWAY%SMPDB%SMP0000296	Details	45	0.500180984278828	1.60773935923719	0.00606520090978014	0.0341214063874593	0	1325	ADRB1,KCNK1,KCND3,ATP2A2,ATP1A3,KCNIP2,KCNJ3,ABCC8,KCNA5,ATP1A2
ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	ACTIVATION OF IMMUNE RESPONSE%GOBP%GO:0002253	Details	248	0.319603068882137	1.30186110056529	0.00291280244928144	0.0213616724658042	0	1485	CD14,TRAC,NCKAP1L,FCER1G,CTSS,ITGAM,C6,CFD,BTNL9,C5AR1,TYROBP,SYK,PLCG2,IGKC,C1QA,HLA-DPB1,LCP2,RGCC,FYB1,PTPRC,CLEC7A,C3AR1,FGR,BMX,THEMIS2,C1QC,FCN3,C1QB,FPR3,HCK,TLR2,FPR1,CD38,IGHA1,KLRD1,TLR4,HLA-DRB1,NAIP,IGHG1,NLRP1,MNDA,NR4A3,ZC3H12A,LGALS9,NFKBIA,IGHG2,TLR5,LBP,NFAM1,ICOSLG
